Article,Object_singular,Translation_singular,Object_plural,Translation_plural,Category
die,Ähnlichkeit,similarity,Ähnlichkeiten,similarities,abstract
die,Alternative,alternative,Alternativen,alternatives,abstract
die,Änderung,"change, alteration",Änderungen,"changes, alterations",abstract
die,Ansicht,"view, opinion",Ansichten,"views, opinions",abstract
die,Aufgabe,task,Aufgaben,tasks,abstract
der,Begriff,"term, concept",Begriffe,"terms, concepts",abstract
das,Beispiel,example,Beispiele,examples,abstract
die,Beschreibung,description,Beschreibungen,descriptions,abstract
die,Bitte,"request, favor",Bitten,"requests, favors",abstract
die,Chance,"chance, opportunity",Chancen,"chances, opportunities",abstract
das,Ding,thing,Dinge,things,abstract
die,Diskussion,discussion,Diskussionen,discussions,abstract
die,Entscheidung,decision,Entscheidungen,decisions,abstract
die,Entschuldigung,"apology, excuse",Entschuldigungen,"apologies, excuses",abstract
die,Entwicklung,development,Entwicklungen,developments,abstract
die,Erfahrung,experience,Erfahrungen,experiences,abstract
der,Erfolg,success,Erfolge,successes,abstract
die,Erklärung,explanation,Erklärungen,explanations,abstract
die,Erlaubnis,permission,Erlaubnisse,permissions,abstract
der,Fehler,"mistake, error",Fehler,"mistakes, errors",abstract
die,Freude,joy,Freuden,joys,abstract
der,Gedanke,thought,Gedanken,thoughts,abstract
die,Gefahr,danger,Gefahren,dangers,abstract
die,Gegenwart,present (time),Gegenwarten,presents,abstract
die,Geschichte,"history, story",Geschichten,"histories, stories",abstract
der,Grund,"reason, ground",Gründe,reasons,abstract
die,Handlung,"action, plot",Handlungen,"actions, plots",abstract
der,Hass,hatred,Hasse,hatreds (rare),abstract
die,Herausforderung,challenge,Herausforderungen,challenges,abstract
die,Hilfe,"help, aid",Hilfen,"helps, aids",abstract
der,Hintergrund,background,Hintergründe,backgrounds,abstract
die,Hoffnung,hope,Hoffnungen,hopes,abstract
die,Idee,idea,Ideen,ideas,abstract
die,Kategorie,category,Kategorien,categories,abstract
der,Kontakt,contact,Kontakte,contacts,abstract
die,Kontrolle,"control, check",Kontrollen,"controls, checks",abstract
die,Lage,situation; location,Lagen,situations; locations,abstract
die,Liebe,love,Lieben,"loves (rare, as persons loved)",abstract
die,Liste,list,Listen,lists,abstract
die,Lösung,solution,Lösungen,solutions,abstract
die,Meinung,opinion,Meinungen,opinions,abstract
die,Menge,"amount, quantity",Mengen,"amounts, quantities",abstract
die,Mission,mission,Missionen,missions,abstract
die,Möglichkeit,possibility,Möglichkeiten,possibilities,abstract
das,Niveau,"level, standard",Niveaus,"levels, standards",abstract
die,Option,option,Optionen,options,abstract
die,Ordnung,"order, tidiness",Ordnungen,"orders, regulations",abstract
die,Perspektive,perspective,Perspektiven,perspectives,abstract
die,Pflicht,duty,Pflichten,duties,abstract
die,Phase,phase,Phasen,phases,abstract
der,Plan,plan,Pläne,plans,abstract
die,Planung,planning,Planungen,"plans, plannings",abstract
das,Potenzial,potential,Potenziale,potentials,abstract
das,Problem,problem,Probleme,problems,abstract
die,Qualität,quality,Qualitäten,qualities,abstract
die,Regel,rule,Regeln,rules,abstract
die,Reihe,"series, row",Reihen,"series, rows",abstract
das,Risiko,risk,Risiken,risks,abstract
die,Sache,"thing, matter",Sachen,"things, matters",abstract
die,Schuld,"guilt, fault",Schulden,debts,abstract
der,Schutz,protection,Schutze,types or means of protection,abstract
die,Schwierigkeit,difficulty,Schwierigkeiten,difficulties,abstract
die,Sicherheit,"safety, security",Sicherheiten,"guarantees, securities",abstract
die,Sicht,"view, visibility",Sichten,"views, visibilities",abstract
die,Situation,situation,Situationen,situations,abstract
der,Standard,standard,Standards,standards,abstract
die,Struktur,structure,Strukturen,structures,abstract
die,Stufe,"level, step",Stufen,"levels, steps",abstract
das,System,system,Systeme,systems,abstract
die,Übersicht,overview,Übersichten,overviews,abstract
die,Umfrage,survey,Umfragen,surveys,abstract
die,Unterhaltung,conversation; entertainment,Unterhaltungen,conversations; entertainments,abstract
der,Unterschied,difference,Unterschiede,differences,abstract
die,Ursache,cause,Ursachen,causes,abstract
die,Verantwortung,responsibility,Verantwortungen,responsibilities,abstract
die,Verbesserung,improvement,Verbesserungen,improvements,abstract
die,Verbindung,"connection, link",Verbindungen,"connections, links",abstract
das,Verbot,"ban, prohibition",Verbote,"bans, prohibitions",abstract
die,Vergangenheit,past,Vergangenheiten,pasts,abstract
das,Verhältnis,"relationship, ratio",Verhältnisse,"relationships, ratios",abstract
der,Verlauf,"course, progression",Verläufe,"courses, progressions",abstract
der,Versuch,"attempt, experiment",Versuche,"attempts, experiments",abstract
die,Vorauswahl,"pre-selection, shortlist",Vorauswahlen,"pre-selections, shortlists",abstract
der,Vordergrund,foreground,Vordergründe,foregrounds,abstract
die,Vorstellung,"idea, introduction, performance",Vorstellungen,"ideas, introductions, performances",abstract
die,Wirklichkeit,reality,Wirklichkeiten,realities,abstract
das,Ziel,"goal, target",Ziele,"goals, targets",abstract
die,Zukunft,future,Zukünfte,futures,abstract
der,Zusammenhang,"context, connection",Zusammenhänge,"contexts, connections",abstract
der,Zustand,"state, condition",Zustände,"states, conditions",abstract
der,Anhang,"attachment, appendix",Anhänge,"attachments, appendices",abstract
die,Anleitung,"instruction, manual",Anleitungen,"instructions, manuals",abstract
die,Bedienung,service; operation,Bedienungen,services; operations,abstract
die,Beilage,"attachment, enclosure; side dish",Beilagen,attachments; side dishes,abstract
die,Ergänzung,"addition, supplement",Ergänzungen,"additions, supplements",abstract
die,Farbe,color,Farben,colors,abstract
die,Form,"shape, form",Formen,"shapes, forms",abstract
die,Frist,"deadline, time limit",Fristen,"deadlines, time limits",abstract
die,Funktion,function,Funktionen,functions,abstract
die,Größe,size,Größen,sizes,abstract
der,Hinweis,"hint, note, reference",Hinweise,"hints, notes, references",abstract
die,Marke,brand,Marken,brands,abstract
die,Maßnahme,"measure, action",Maßnahmen,"measures, actions",abstract
die,Methode,method,Methoden,methods,abstract
das,Modell,model,Modelle,models,abstract
das,Muster,"pattern, sample",Muster,"patterns, samples",abstract
der,Nachteil,disadvantage,Nachteile,disadvantages,abstract
die,Notiz,note,Notizen,notes,abstract
die,Position,position,Positionen,positions,abstract
die,Rolle,role,Rollen,roles,abstract
das,Schema,schema,Schemata,schemata,abstract
das,Signal,signal,Signale,signals,abstract
die,Störung,"disturbance, malfunction",Störungen,"disturbances, malfunctions",abstract
die,Strategie,strategy,Strategien,strategies,abstract
das,Symbol,symbol,Symbole,symbols,abstract
die,Variante,variant,Varianten,variants,abstract
die,Version,version,Versionen,versions,abstract
der,Vorteil,advantage,Vorteile,advantages,abstract
das,Zeichen,"sign, symbol",Zeichen,"signs, symbols",abstract
das,Chaos,chaos,Chaose,chaos situations (rare),abstract
die,Mitte,"middle, center",Mitten,"centers, middles",abstract
die,Sauberkeit,cleanliness,Sauberkeiten,degrees of cleanliness,abstract
die,Seite,"side, page",Seiten,"sides, pages",abstract
die,Unordnung,"mess, disorder",Unordnungen,disorders,abstract
die,Akte,"file, dossier",Akten,"files, dossiers",administration
die,Aktennummer,file number,Aktennummern,file numbers,administration
die,Aktion,"action, campaign",Aktionen,"actions, campaigns",administration
das,Amt,"office, department",Ämter,"offices, departments",administration
der,Antrag,"application, request form",Anträge,"applications, request forms",administration
das,Archiv,archive,Archive,archives,administration
die,Bearbeitung,processing,Bearbeitungen,processings,administration
die,Behörde,"authority, agency",Behörden,"authorities, agencies",administration
die,Bescheinigung,"certificate, confirmation",Bescheinigungen,"certificates, confirmations",administration
die,Bestätigung,confirmation,Bestätigungen,confirmations,administration
das,Formular,"form, form sheet",Formulare,forms,administration
die,Genehmigung,"approval, permit",Genehmigungen,"approvals, permits",administration
der,Leiter,"manager, head (male)",Leiter,"manager, heads",administration
die,Leiterin,"manager, head (female)",Leiterinnen,"managers, heads (female)",administration
die,Leitung,"management, leadership",Leitungen,managements; cables,administration
das,Protokoll,minutes; protocol,Protokolle,minutes; protocols,administration
die,Sitzung,"session, meeting",Sitzungen,"sessions, meetings",administration
die,Verwaltung,administration,Verwaltungen,administrations,administration
die,Vorlage,"template, draft",Vorlagen,"templates, drafts",administration
die,Vorschrift,"regulation, rule",Vorschriften,"regulations, rules",administration
die,Ameise,ant,Ameisen,ants,animals
der,Bär,bear,Bären,bears,animals
die,Biene,bee,Bienen,bees,animals
der,Elefant,elephant,Elefanten,elephants,animals
die,Ente,duck,Enten,ducks,animals
der,Fisch,fish,Fische,fish (plural),animals
die,Fliege,fly,Fliegen,flies,animals
der,Hase,"rabbit, hare",Hasen,"rabbits, hares",animals
der,Hund,dog,Hunde,dogs,animals
die,Katze,cat,Katzen,cats,animals
die,Kuh,cow,Kühe,cows,animals
der,Löwe,lion,Löwen,lions,animals
die,Maus,mouse,Mäuse,mice,animals
das,Pferd,horse,Pferde,horses,animals
die,Ratte,rat,Ratten,rats,animals
das,Schaf,sheep,Schafe,sheep,animals
die,Schlange,snake,Schlangen,snakes,animals
das,Schwein,pig,Schweine,pigs,animals
die,Spinne,spider,Spinnen,spiders,animals
das,Tier,animal,Tiere,animals,animals
der,Tiger,tiger,Tiger,tigers,animals
der,Vogel,bird,Vögel,birds,animals
der,Zoo,zoo,Zoos,zoos,animals
das,Bild,"picture, painting",Bilder,"pictures, paintings",art
die,CD,CD,CDs,CDs,art
das,Foto,photo,Fotos,photos,art
das,Lied,song,Lieder,songs,art
die,Musik,music,Musiken,kinds of music,art
der,Sänger,singer (male),Sänger,singers (male or mixed),art
die,Sängerin,singer (female),Sängerinnen,singers (female),art
der,Arm,arm,Arme,arms,body
das,Auge,eye,Augen,eyes,body
der,Bauch,"belly, stomach (external)",Bäuche,bellies,body
das,Bein,leg,Beine,legs,body
das,Blut,blood,Blute,types or amounts of blood (rare),body
die,Brust,"chest, breast",Brüste,"chests, breasts",body
der,Daumen,thumb,Daumen,thumbs,body
der,Ellbogen,elbow,Ellbogen,elbows,body
der,Finger,finger,Finger,fingers,body
die,Fitness,fitness,Fitnesszentren,"gyms, fitness centers",body
der,Fuß,foot,Füße,feet,body
das,Gesicht,face,Gesichter,faces,body
das,Haar,hair (a single hair),Haare,"hair, hairs",body
der,Hals,"neck, throat",Hälse,"necks, throats",body
die,Hand,hand,Hände,hands,body
die,Haut,skin,Häute,skins,body
das,Herz,heart,Herzen,hearts,body
das,Knie,knee,Knie,knees,body
der,Kopf,head,Köpfe,heads,body
der,Körper,body,Körper,bodies,body
die,Leber,liver,Lebern,livers,body
die,Lunge,lung,Lungen,lungs,body
der,Magen,stomach (organ),Mägen,stomachs (organs),body
die,Massage,massage,Massagen,massages,body
der,Mund,mouth,Münder,mouths,body
die,Nase,nose,Nasen,noses,body
das,Ohr,ear,Ohren,ears,body
der,Rücken,back,Rücken,backs,body
die,Schulter,shoulder,Schultern,shoulders,body
die,Therapie,therapy,Therapien,therapies,body
die,Wange,cheek,Wangen,cheeks,body
der,Zahn,tooth,Zähne,teeth,body
die,Zehe,toe,Zehen,toes,body
die,Zunge,tongue,Zungen,tongues,body
das,Dach,roof,Dächer,roofs,buildings
die,Etage,"floor, story",Etagen,"floors, storys",buildings
der,Fahrstuhl,elevator,Fahrstühle,elevators,buildings
der,Gang,"corridor, hallway",Gänge,"corridors, hallways",buildings
das,Gebäude,building,Gebäude,buildings,buildings
der,Keller,"basement, cellar",Keller,"basements, cellars",buildings
der,Komplex,complex,Komplexe,complexes,buildings
der,Lift,"lift, elevator",Lifte,"lifts, elevators",buildings
die,Treppe,"stairs, staircase",Treppen,"stairs, staircases",buildings
der,Raum,"room, space",Räume,"rooms, spaces",buildings
die,Abmachung,agreement,Abmachungen,agreements,business
die,Anfrage,"request, inquiry",Anfragen,"requests, inquiries",business
die,Bestellung,order (purchase),Bestellungen,orders,business
die,Lieferung,delivery,Lieferungen,deliveries,business
die,Lieferzeit,delivery time,Lieferzeiten,delivery times,business
die,Nachfrage,"demand, inquiry",Nachfragen,"demands, inquiries",business
der,Partner,partner (male),Partner,partners,business
die,Partnerin,partner (female),Partnerinnen,partners (female),business
die,Reklamation,"complaint, claim",Reklamationen,"complaints, claims",business
die,Verhandlung,negotiation,Verhandlungen,negotiations,business
der,Vertrag,contract,Verträge,contracts,business
die,Zusage,"promise, confirmation",Zusagen,"promises, confirmations",business
das,Angebot,"offer, special deal",Angebote,"offers, deals",business
die,Bank,bank (financial),Banken,banks,business
die,Belohnung,reward,Belohnungen,rewards,business
die,Bezahlung,payment,Bezahlungen,payments,business
die,Branche,industry sector,Branchen,industry sectors,business
das,Budget,budget,Budgets,budgets,business
der,Cent,cent,Cent,cents,business
die,Dienstleistung,service (economic),Dienstleistungen,services (economic),business
das,Einkommen,income,Einkommen,incomes,business
der,Euro,euro,Euro,euros,business
die,Filiale,branch (store or bank),Filialen,branches,business
das,Geld,money,Gelder,"funds, sums of money",business
das,Geschäft,"shop, business",Geschäfte,"shops, businesses",business
der,Gewinn,"profit, gain",Gewinne,"profits, gains",business
der,Handel,trade,Handel,trades (rare),business
die,Industrie,industry,Industrien,industries,business
die,Kasse,"checkout, till",Kassen,"checkouts, tills",business
der,Konkurrent,competitor (male),Konkurrenten,competitors,business
die,Konkurrentin,competitor (female),Konkurrentinnen,competitors (female),business
das,Konto,account,Konten,accounts,business
der,Korb,basket,Körbe,baskets,business
die,Kreditkarte,credit card,Kreditkarten,credit cards,business
der,Laden,"shop, store",Läden,"shops, stores",business
der,Markt,market,Märkte,markets,business
die,Münze,coin,Münzen,coins,business
die,Niederlassung,branch office,Niederlassungen,branch offices,business
der,Preis,price,Preise,prices,business
das,Produkt,product,Produkte,products,business
die,Produktion,production,Produktionen,productions,business
die,Quittung,receipt,Quittungen,receipts,business
der,Rabatt,discount,Rabatte,discounts,business
die,Rechnung,"bill, invoice, calculation",Rechnungen,"bills, invoices, calculations",business
der,Schein,"bill, note",Scheine,"bills, notes",business
die,Steuer,tax,Steuern,taxes,business
der,Supermarkt,supermarket,Supermärkte,supermarkets,business
die,Überweisung,transfer (bank),Überweisungen,transfers (bank),business
der,Verlust,loss,Verluste,losses,business
der,Wettbewerb,competition,Wettbewerbe,competitions,business
die,Wirtschaft,economy,Wirtschaften,economies,business
die,Zahlung,payment,Zahlungen,payments,business
die,Zentrale,head office,Zentralen,head offices,business
der,Kunde,customer (male),Kunden,customers (male or mixed),business
die,Kundin,customer (female),Kundinnen,customers (female),business
der,Verkäufer,salesperson (male),Verkäufer,salespeople (male or mixed),business
die,Verkäuferin,salesperson (female),Verkäuferinnen,salespeople (female),business
die,Feuerwehr,fire brigade,Feuerwehren,fire brigades,city
der,Notruf,emergency call,Notrufe,emergency calls,city
die,Polizei,police,Polizeien,police forces,city
der,Unfall,accident,Unfälle,accidents,city
der,Verkehrsunfall,traffic accident,Verkehrsunfälle,traffic accidents,city
die,Ampel,traffic light,Ampeln,traffic lights,city
das,Auto,car,Autos,cars,city
die,Bahn,"train, rail",Bahnen,"trains, rails",city
der,Bahnhof,train station,Bahnhöfe,train stations,city
das,Boot,boat,Boote,boats,city
die,Brücke,bridge,Brücken,bridges,city
der,Bus,bus,Busse,buses,city
die,Bushaltestelle,bus stop,Bushaltestellen,bus stops,city
die,Fahrkarte,travel ticket,Fahrkarten,travel tickets,city
das,Fahrrad,bicycle,Fahrräder,bicycles,city
die,Fahrt,"trip, ride",Fahrten,"trips, rides",city
der,Flug,flight,Flüge,flights,city
der,Flughafen,airport,Flughäfen,airports,city
die,Haltestelle,"stop (for bus, tram)",Haltestellen,stops,city
die,Kreuzung,intersection,Kreuzungen,intersections,city
der,Platz,"square, place, space",Plätze,"squares, places, spaces",city
das,Rad,"bike, wheel",Räder,"bikes, wheels",city
die,Reise,"journey, trip",Reisen,"journeys, trips",city
das,Schiff,ship,Schiffe,ships,city
die,Stadtmitte,"downtown, city center",Stadtmitten,city centers,city
der,Stau,traffic jam,Staus,traffic jams,city
die,Straße,"street, road",Straßen,"streets, roads",city
die,Straßenbahn,tram,Straßenbahnen,trams,city
das,Taxi,taxi,Taxis,taxis,city
das,Ticket,ticket,Tickets,tickets,city
der,Tunnel,tunnel,Tunnel,tunnels,city
die,U-Bahn,"subway, metro",U-Bahnen,"subways, metros",city
der,Verkehr,traffic,Verkehre,types or flows of traffic,city
der,Wagen,"car, vehicle",Wagen,"cars, wagons",city
das,Zentrum,center,Zentren,centers,city
das,Gericht,court; dish,Gerichte,courts; dishes,city
der,Prozess,"lawsuit, process",Prozesse,"lawsuits, processes",city
der,Streit,"dispute, quarrel",Streite,disputes,city
die,Anzeige,report; advertisement,Anzeigen,reports; advertisements,city
die,Gebühr,fee,Gebühren,fees,city
die,Strafe,"punishment, fine",Strafen,"punishments, fines",city
der,Spielplatz,playground,Spielplätze,playgrounds,city
der,Alarm,alarm,Alarme,alarms,city
der,Notfall,emergency,Notfälle,emergencies,city
die,Warnung,warning,Warnungen,warnings,city
der,Brief,letter,Briefe,letters,city
der,Kurier,courier,Kuriere,couriers,city
das,Paket,"package, parcel",Pakete,"packages, parcels",city
die,Post,"mail, post",Postämter,post offices,city
die,Postkarte,postcard,Postkarten,postcards,city
der,Anzug,suit,Anzüge,suits,clothes
die,Bluse,blouse,Blusen,blouses,clothes
der,Gürtel,belt,Gürtel,belts,clothes
der,Handschuh,glove,Handschuhe,gloves,clothes
das,Hemd,shirt,Hemden,shirts,clothes
die,Hose,"trousers, pants",Hosen,"trousers, pants",clothes
der,Hut,hat,Hüte,hats,clothes
die,Jacke,jacket,Jacken,jackets,clothes
die,Jeans,jeans (pair),Jeans,jeans,clothes
die,Kappe,"cap, baseball cap",Kappen,caps,clothes
das,Kleid,dress,Kleider,dresses,clothes
die,Kleidung,clothing,Kleidungen,types of clothing,clothes
die,Krawatte,tie,Krawatten,ties,clothes
der,Mantel,coat,Mäntel,coats,clothes
die,Mütze,"woolly hat, cap",Mützen,"woolly hats, caps",clothes
der,Rock,skirt,Röcke,skirts,clothes
der,Schal,scarf,Schals,scarves,clothes
der,Schuh,shoe,Schuhe,shoes,clothes
die,Socke,sock,Socken,socks,clothes
der,Stiefel,boot,Stiefel,boots,clothes
die,Strumpfhose,"tights, pantyhose",Strumpfhosen,"tights, pantyhose",clothes
das,T-Shirt,T-shirt,T-Shirts,T-shirts,clothes
das,Armband,bracelet,Armbänder,bracelets,clothes
die,Brille,glasses (pair),Brillen,glasses (pairs),clothes
die,Handtasche,handbag,Handtaschen,handbags,clothes
die,Kette,"necklace, chain",Ketten,"necklaces, chains",clothes
der,Koffer,suitcase,Koffer,suitcases,clothes
der,Ring,ring,Ringe,rings,clothes
der,Rucksack,backpack,Rucksäcke,backpacks,clothes
der,Schmuck,jewelry,Schmuckstücke,jewelry pieces,clothes
die,Tasche,"bag, pocket",Taschen,"bags, pockets",clothes
das,Geräusch,"noise, sound",Geräusche,"noises, sounds",communication
der,Lärm,"noise, din",Lärme,types of noise,communication
der,Schrei,"scream, shout",Schreie,"screams, shouts",communication
die,Stimme,voice,Stimmen,voices,communication
der,Ton,"sound, tone",Töne,"sounds, tones",communication
der,Blick,"look, glance",Blicke,"looks, glances",communication
die,Geste,gesture,Gesten,gestures,communication
das,Lächeln,smile,Lächeln,smiles,communication
das,Lachen,laughter,Lachen,"laughters, laughs",communication
die,Träne,tear,Tränen,tears,communication
die,Ansage,announcement,Ansagen,announcements,communication
die,Antwort,answer,Antworten,answers,communication
die,Aussage,statement,Aussagen,statements,communication
die,Beschwerde,complaint,Beschwerden,complaints,communication
die,Besprechung,meeting,Besprechungen,meetings,communication
die,Frage,question,Fragen,questions,communication
das,Gespräch,conversation,Gespräche,conversations,communication
die,Konversation,conversation,Konversationen,conversations,communication
die,Kritik,"criticism, review",Kritiken,"criticisms, reviews",communication
das,Lob,praise,Lobe,praises,communication
die,Mitteilung,"notification, message",Mitteilungen,"notifications, messages",communication
das,Telefonat,phone call,Telefonate,phone calls,communication
das,Brauchtum,"customs, folklore",Brauchtümer,traditions (rare),culture
der,Feiertag,public holiday,Feiertage,public holidays,culture
die,Kultur,culture,Kulturen,cultures,culture
die,Sitte,"custom, manners",Sitten,"customs, morals",culture
die,Tradition,tradition,Traditionen,traditions,culture
der,Alltag,everyday life,Alltage,everyday lives,culture
der,Besuch,visit,Besuche,visits,culture
der,Brauch,"custom, tradition",Bräuche,"customs, traditions",culture
die,Einladung,invitation,Einladungen,invitations,culture
die,Feier,celebration,Feiern,celebrations,culture
das,Fest,"festival, celebration",Feste,"festivals, celebrations",culture
der,Geburtstag,birthday,Geburtstage,birthdays,culture
die,Gewohnheit,habit,Gewohnheiten,habits,culture
die,Party,party,Partys,parties,culture
die,Routine,routine,Routinen,routines,culture
die,Krise,crisis,Krisen,crises,culture
die,Gesellschaft,"society, company",Gesellschaften,"societies, companies",culture
die,Gruppe,group,Gruppen,groups,culture
die,Organisation,organization,Organisationen,organizations,culture
die,Stiftung,foundation,Stiftungen,foundations,culture
die,Hotline,helpline,Hotlines,helplines,culture
der,Support,support,Supports,support services,culture
die,Nachricht,"message, news item",Nachrichten,"messages, news",culture
das,Programm,"program, show",Programme,"programs, shows",culture
das,Gebet,prayer,Gebete,prayers,culture
der,Gott,"God, god",Götter,gods,culture
die,Göttin,goddess,Göttinnen,goddesses,culture
die,Kirche,church,Kirchen,churches,culture
die,Moschee,mosque,Moscheen,mosques,culture
die,Religion,religion,Religionen,religions,culture
die,Seele,soul,Seelen,souls,culture
die,Synagoge,synagogue,Synagogen,synagogues,culture
der,Bleistift,pencil,Bleistifte,pencils,education
das,Buch,book,Bücher,books,education
der,Filzstift,felt-tip pen,Filzstifte,felt-tip pens,education
